"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"1","1300","70053","68400","HomeImp","Other","7","0","2","121.833333333333","0","14",""
"1","2000","","62250","HomeImp","Sales","16","0","0","115.8","0","13",""
"1","2000","20627","29800","HomeImp","Office","11","0","1","122.533333333333","1","9",""
"1","2000","45000","55000","HomeImp","Other","3","0","0","86.0666666666667","2","25",""
"1","2100","71000","83850","HomeImp","Other","8","0","1","123","0","16",""
"1","2300","37626","46200","HomeImp","Other","3","0","1","122.266666666667","1","14",""
"1","2400","28000","40800","HomeImp","Mgr","12","0","0","67.2","2","22",""
"1","2400","18000","","HomeImp","Mgr","22","","2","121.733333333333","0","10",""
"1","2500","15000","20200","HomeImp","","18","0","0","136.066666666667","1","19",""
"1","2900","78600","113000","DebtCon","ProfExe","6","1","0","165.333333333333","2","26",""
"1","3000","119826","193500","HomeImp","Other","8","0","0","130.033358458961","0","27",""
"1","3000","20000","29750","DebtCon","Other","2","0","0","187.066666666667","0","12",""
"1","3300","126541","134527","HomeImp","Sales","9","1","0","139","0","36",""
"1","3300","130518","164317","DebtCon","Other","9","0","6","192.289148972957","0","33","35.7305591898926"
"1","3500","23200","38666","HomeImp","Other","11","0","0","162.366666666667","0","14",""
"1","3500","19400","20494","HomeImp","Other","5","0","0","95.9333333333333","0","9",""
"1","3600","61584","61800","HomeImp","ProfExe","10","","","","","",""
"1","3600","48507","61000","DebtCon","Office","13","1","4","97.4","0","17",""
"1","3800","19135","97692","HomeImp","Mgr","1.6","1","6","252.633333333333","1","25",""
"1","3900","21200","39000","DebtCon","Mgr","4","0","1","86.5666666666667","2","14",""
"1","4000","45000","58350","HomeImp","Mgr","3.5","0","0","162","3","16",""
"1","4000","7000","16020","HomeImp","Other","18","0","1","85.8","2","23",""
"1","4100","","19132","HomeImp","Other","0","0","0","100.774652207425","0","19","33.8409199038245"
"1","4100","58500","65000","HomeImp","Other","8","1","2","63.9333333333333","2","15",""
"1","4500","90000","105800","HomeImp","Other","6","2","3","80.1","3","10",""
"1","5000","16600","25250","HomeImp","Other","6","0","0","88.7","1","3",""
"1","5000","","52000","HomeImp","Other","","0","1","285.333333333333","0","6",""
"1","5000","6000","38575","HomeImp","Self","7","0","1","335.033333333333","3","42",""
"1","5000","","94119","HomeImp","Other","19","","","","","",""
"1","5000","","37500","HomeImp","Other","","0","3","107.133333333333","10","5",""
"1","5000","28000","36810","DebtCon","Other","2","1","0","222.2","1","6",""
"1","5000","61999","75021.3","HomeImp","Other","5","0","0","97.1","0","23",""
"1","5100","30755","46735","HomeImp","Other","10","0","0","69","0","17",""
