"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"0","1700","97800","112000","HomeImp","Office","3","0","0","93.3333333333333","0","14",""
"0","2000","64536","87400","","Mgr","2.5","0","0","147.133333333333","0","24",""
"1","2200","23030","","","","19","","","","","","3.71131229945985"
"1","2400","34863","47471","HomeImp","Mgr","12","0","0","70.4910800318371","1","21","38.2636007309303"
"0","2400","98449","117195","HomeImp","Office","4","0","0","93.8117748545694","0","13","29.6818270451957"
"1","2800","4000","60850","HomeImp","Other","16","4","0","112.633333333333","2","9",""
"0","2900","103949","112505","HomeImp","Office","1","0","0","96.1023296698115","0","13","30.0511362863198"
"0","2900","104373","120702","HomeImp","Office","2","0","0","101.540297533419","0","13","29.9158590280245"
"1","2900","7750","67996","HomeImp","Other","16","3","0","122.204662761713","2","8","36.211347997762"
"1","3000","34542","45900","HomeImp","Mgr","8.5","0","2","62.3666666666667","0","10",""
"1","3100","39589","36100","HomeImp","Other","1.5","0","0","153.166666666667","1","14",""
"0","3200","74864","87266","HomeImp","ProfExe","7","0","0","250.631269223786","0","12","42.9099973509554"
"1","3600","41900","52490","HomeImp","Mgr","3","0","0","72.0333333333333","2","4",""
"0","3600","100693","114743","HomeImp","Office","6","0","0","88.4704521347716","0","14","29.3935433821909"
"0","3600","52337","63989","HomeImp","Office","20","0","0","204.272498843927","0","20","20.4709155077911"
"0","3800","","73189","","","","","","","","","22.2539491564939"
"1","3900","14500","22092","HomeImp","Other","3.5","0","1","150.3","5","8",""
"0","3900","102143","118742","HomeImp","Office","2","0","0","85.2773655787646","0","13","29.3439210886061"
"1","4000","","80609","HomeImp","Other","1.5","0","2","126.533333333333","3","12",""
"1","4000","17000","52012","HomeImp","ProfExe","22","3","1","85.3333333333333","1","9",""
"1","4000","58000","69440","HomeImp","Other","3.5","0","1","168.666666666667","0","18",""
"1","4000","5700","18000","DebtCon","Other","","0","0","12.2","0","17",""
"0","4100","57992","63797","DebtCon","ProfExe","7","0","4","165.50503695302","1","31","22.2781743697255"
"1","4200","34800","50225","HomeImp","Other","2","1","0","93.5","1","5",""
"0","4400","","60250","","","","","","","","",""
"0","4500","71082","79247","HomeImp","Other","4","0","0","118.760410071659","0","14","41.4211105205776"
"0","4500","","49044","HomeImp","","0","0","0","","0","0","11.6527387959616"
"1","4500","34184","46000","HomeImp","Mgr","3.5","0","1","122.6","2","22",""
"0","4500","45500","50000","HomeImp","Other","6","0","0","86.1666666666667","0","18",""
"0","4700","53918","59511","DebtCon","","6","","0","54.1364774295931","","15","34.4165078109021"
"0","4800","56067","63102","DebtCon","ProfExe","9","0","3","160.146311284359","1","30","21.5837601207121"
"0","4800","80482","88342","HomeImp","ProfExe","7","0","0","275.032394832909","0","11","43.7176351117471"
"1","4900","25597","23031","HomeImp","Other","5","0","0","101.746766439263","0","8","33.2431569778701"
"0","5000","","34846","HomeImp","","","","","","","","33.3546526264887"
"1","5000","40000","70500","HomeImp","Mgr","0.4","0","0","61.7666666666667","2","8",""
"1","5000","100000","129693.5","HomeImp","Mgr","13","","","","","",""
"1","5000","","132000","HomeImp","Other","17.5","0","2","121.9","0","14",""
"0","5000","70470","77908","DebtCon","","5","","","","","",""
"1","5000","10171","26809","HomeImp","Office","13","3","6","228.3","0","24",""
"1","5000","78893","82600","HomeImp","Mgr","16","0","0","133.9","1","34",""
"1","5000","85165","107940","HomeImp","Mgr","6","5","3","122.766666666667","5","28",""
"1","5000","68000","75616","DebtCon","ProfExe","0.1","0","0","131.866666666667","0","30",""
"1","5000","40000","32480","HomeImp","Other","8","3","2","163.366666666667","1","16",""
"0","5000","80153","97275","DebtCon","Other","1","0","0","120.675063156323","2","10","37.5127084094205"
"0","5000","51209","55320","DebtCon","","5","","1","69.1074655974897","","15","35.0250729684648"
"0","5100","85583","115341","HomeImp","ProfExe","7","0","0","177.958255117205","1","28","26.2579701324031"
"0","5100","72891","80691","HomeImp","Other","1","1","0","273.881705161417","0","6","39.8521465151115"
"0","5100","93000","116875","HomeImp","Other","10","","","417.633333333333","2","50",""
"0","5100","66834","87361","HomeImp","Other","0","2","0","290.034107994353","0","6","38.7669850708065"
"0","5100","73882","96031","DebtCon","Other","0","0","0","125.787400113614","1","10","34.4460792217199"
"0","5100","74071","97064","DebtCon","Other","0","0","0","121.075972603058","2","9","36.4017295484951"
"0","5200","","36425","DebtCon","Other","2","0","0","266.81346457476","1","14","23.7974010578158"
"0","5300","66987","65111","HomeImp","Sales","4","1","0","175.328703823634","1","22","40.442570388756"
"0","5300","","49396","HomeImp","","0","0","0","","0","0","12.0436705756624"
"0","5300","60826","80826","HomeImp","Mgr","10","","1","212.891746071273","0","25","38.5914940276982"
"0","5400","53429","64505","DebtCon","","5","","0","69.5424301072283","","16","36.4802362989822"
"0","5400","86922","119846","HomeImp","ProfExe","5","0","0","185.076347255609","1","28","26.3548892946471"
"0","5400","65814","85848","HomeImp","Other","4","0","0","122.940288596798","0","15","44.09232568164"
"0","5400","48152","55760","DebtCon","","6","","0","78.452125766269","","16","35.7636379965225"
"0","5500","87765","101053","DebtCon","ProfExe","22","0","0","55.5580490439362","2","13","31.3755424159465"
"1","5500","21359","30000","DebtCon","Other","7","3","2","130.8","3","14",""
"1","5500","","13770","HomeImp","Mgr","5","0","1","167.366666666667","1","8",""
"0","5500","93051","115374","HomeImp","ProfExe","6","0","0","187.020518788362","1","27","27.6467485047862"
"0","5600","29648","39907","HomeImp","ProfExe","11","0","0","180.563069135394","0","13","21.5549496563873"
"0","5600","76407","77485","HomeImp","Other","9","0","0","91.6837706342405","0","24","37.7733509756594"
"1","5600","55160","86800","HomeImp","Other","3","1","1","148.133333333333","1","14",""
"0","5700","100934","111496","HomeImp","Office","23","0","0","117.499592879659","0","12","38.7505626679354"
"0","5700","","74685","","","","","","","","","24.2748652747901"
"0","5700","49514","58249","HomeImp","Office","21","0","0","212.539115090453","0","21","21.2580268780505"
"1","5700","77213","92661","DebtCon","Sales","0","0","0","97.1331709520347","1","16","41.7778886308837"
"0","5700","","39052","HomeImp","Other","3","0","0","272.220628263033","0","25","39.8961046183138"
"0","5800","172595","250155","DebtCon","Sales","","0","0","126.400983564996","0","21","43.2077597896651"
"0","5800","","34704","HomeImp","","","","","","","","34.1740555450898"
"0","6000","","69492","","","","","","","","","32.9771972261449"
"1","6000","33600","","HomeImp","Other","2","0","0","140.933333333333","1","20",""
"0","6000","72951","80000","HomeImp","Other","22.8","0","0","343.9","1","47",""
"0","6000","69876","94394.07","HomeImp","Other","0","0","1","179.566666666667","0","32",""
"0","6100","48500","62500","DebtCon","Mgr","7","","4","111.3","2","11",""
"0","6100","47604","54966","HomeImp","Other","5","0","0","70.6953297298125","0","18","24.7667445298036"
"0","6100","79636","87276","HomeImp","Other","20","0","0","350.436137545783","0","47","28.8482765808274"
"0","6100","","46830","HomeImp","","0","0","1","","0","0","13.3060130758192"
"0","6200","171582","245730","DebtCon","Sales","","0","0","135.108930246752","0","22","39.7838181255356"
"0","6200","46601","59486","HomeImp","Other","5","0","0","84.6321106600501","0","18","25.3500103599066"
"0","6200","","41657","HomeImp","Other","","","","293.95872355069","","11","30.1976307276858"
"0","6200","70793","71552","HomeImp","Sales","3","2","0","162.945156921024","0","23","40.3153965868128"
"0","6200","75121","96462","DebtCon","ProfExe","0","","","","","","27.1676559616661"
"0","6300","99469","116260","HomeImp","Office","23","0","0","124.745595489555","1","12","35.6422701073262"
