"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"1","2000","32700","46740","HomeImp","Other","3","0","2","216.933333333333","1","12",""
"1","2200","90957","102600","HomeImp","Mgr","7","2","6","122.9","1","22",""
"0","2300","102370","120953","HomeImp","Office","2","0","0","90.9925334673386","0","13","31.5885031783155"
"1","2900","61962","70915","DebtCon","Mgr","2","0","0","282.80165923776","3","37","49.2063957904495"
"1","3000","","8800","HomeImp","Other","2","0","1","77.7666666666667","0","3",""
"0","3000","58000","71500","HomeImp","Mgr","10","","2","211.933333333333","0","25",""
"0","3000","47000","56400","HomeImp","Office","21","0","0","201.866666666667","0","20",""
"0","3200","67848","74566","HomeImp","Mgr","10","","1","206.426602063746","0","25","40.115677277509"
"1","3200","48603","61000","HomeImp","ProfExe","28","0","4","122.033333333333","1","25",""
"0","3600","83700","111800","HomeImp","ProfExe","6","0","0","192.733333333333","1","28",""
"1","3700","17857","21144","HomeImp","Other","5","0","0","129.717323127429","1","9","26.6343475182701"
"0","3800","51180","63459","HomeImp","Office","20","0","0","203.751533578916","0","20","20.067042050961"
"0","4000","","45760","HomeImp","","0","0","0","","0","0",""
"1","4000","55000","59000","DebtCon","Other","12","2","0","146.1","0","22",""
"0","4000","67625","80698","HomeImp","Mgr","11","","1","212.349303879201","0","25","39.1287176277995"
"0","4000","67533","71865","HomeImp","Mgr","10","","2","227.792988410622","0","25","39.1663287025626"
"0","4200","67700","77000","DebtCon","Sales","4","0","0","128.833333333333","0","31",""
"0","4200","66272","82953","HomeImp","Other","3","0","0","110.278662594096","0","15","43.450587911052"
"0","4200","50216","58541","HomeImp","Office","19","0","0","209.871302243017","0","19","20.208032669643"
"0","4300","71206","78698","DebtCon","Sales","3","0","0","129.932869017443","0","31","34.1813765157766"
"0","4300","72021","80027","HomeImp","Other","2","2","0","263.970300294846","0","5","36.4320939367088"
"0","4400","53969","63869","DebtCon","ProfExe","7","0","3","162.390010669274","0","30","23.5810792388306"
"0","4500","","77182","","","","","","","","","25.2272529043105"
"1","4500","39000","66000","HomeImp","Other","1","0","0","170.366666666667","1","19",""
